texto,intencion,sesgo
¿Cuánto he perdido? ¡estoy quebrando!,consultar_cartera,panico
"Quizás sea bueno tener más efectivo disponible, voy a vender todo ya",quiero_vender,panico
"¿en qué debería poner mi dinero?, quizás debería tomar algunas ganancias antes de que cambie el mercado",pedir_recomendacion,panico
¿Cuánto he perdido? voy a liquidar todo,consultar_cartera,panico
"¡no puedo creer que esté perdiendo tanto!, voy a vender todo ya",quiero_vender,panico
"¿dónde puedo obtener buenos rendimientos?, no estoy muy cómodo con el nivel de riesgo actual",pedir_recomendacion,panico
"¿cómo funciona el mercado de valores?, no puedo más con estas pérdidas",explicar_concepto,panico
"Varios expertos mencionan que las commodities están subiendo, quiero comprar crypto",quiero_comprar,fomo
"¿qué me recomiendas?, he notado que muchos inversores están entrando a mercados emergentes",pedir_recomendacion,fomo
"¿dónde debería poner mis ahorros?, no quiero ser el único que no gana",pedir_recomendacion,fomo
"todo el mundo está ganando menos yo, quiero comprar Tesla",quiero_comprar,fomo
"explícame qué es una acción, ¡voy a perderme la subida!",explicar_concepto,fomo
"¿cómo se calcula el rendimiento?, no puedo ser el tonto que no invierte",explicar_concepto,fomo
"¿qué es el beta?, ¡voy a arrepentirme si no entro ahora!",explicar_concepto,fomo
"¿qué es el riesgo en inversiones?, mucha gente está hablando bien de las inversiones en ia",explicar_concepto,fomo
"¿qué me recomiendas?, he leído que el sector inmobiliario está en alza",pedir_recomendacion,fomo
"todo el mundo está ganando menos yo, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"¿qué es un índice bursátil?, he leído que el sector inmobiliario está en alza",explicar_concepto,fomo
"¡estoy perdiendo la oportunidad de mi vida!, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"¿qué es un índice bursátil?, ¡todos están ganando menos yo!",explicar_concepto,fomo
"Varios expertos mencionan que las commodities están subiendo, quiero comprar Apple",quiero_comprar,fomo
¿Cuánto he ganado? no puedo ser el tonto que no invierte,consultar_cartera,fomo
"¿me pueden dar una recomendación?, no quiero ser el único que no gana",pedir_recomendacion,fomo
"Mucha gente está hablando bien de las inversiones en IA, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"explícame qué es un fondo mutuo, varios colegas han tenido buenos resultados con acciones de tecnología",explicar_concepto,fomo
"Varios colegas han tenido buenos resultados con acciones de tecnología, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"¿qué es un índice bursátil?, varios amigos me han dicho que han ganado con etfs",explicar_concepto,fomo
"¿cuál es la mejor inversión?, he visto que mucha gente está entrando en crypto, quizás debería echarle un ojo",pedir_recomendacion,fomo
"¿qué es un ETF?, mucha gente está optimista sobre las acciones de crecimiento",explicar_concepto,fomo
¿Cuánto he ganado? varios colegas han tenido buenos resultados con acciones de tecnología,consultar_cartera,fomo
"¿qué recomiendan para mi cartera?, he notado que muchos inversores están entrando a mercados emergentes",pedir_recomendacion,fomo
"¿dónde debería poner mis ahorros?, ¡estoy perdiendo la oportunidad de mi vida!",pedir_recomendacion,fomo
"Varios colegas han tenido buenos resultados con acciones de tecnología, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"Mucha gente está hablando bien de las inversiones en IA, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"¿dónde me recomiendan invertir a largo plazo?, he visto que varios fondos están invirtiendo en sostenibilidad",pedir_recomendacion,fomo
"explícame qué es un bono, ¡la subida va a continuar sin mí!",explicar_concepto,fomo
"¿me pueden dar una recomendación?, ¡estoy perdiendo la oportunidad de mi vida!",pedir_recomendacion,fomo
"¿qué recomiendan para mi cartera?, he notado que muchos inversores están entrando a mercados emergentes",pedir_recomendacion,fomo
"¿me pueden dar una recomendación?, he notado que muchos inversores están entrando a mercados emergentes",pedir_recomendacion,fomo
"He leído que el sector inmobiliario está en alza, quiero comprar crypto",quiero_comprar,fomo
"¿qué es el RSI?, mucha gente está optimista sobre las acciones de crecimiento",explicar_concepto,fomo
"todos están entrando al mercado, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"no puedo quedarme fuera, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"He oído que el sector de energía está teniendo un buen momento, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"Varios colegas han tenido buenos resultados con acciones de tecnología, quiero comprar crypto",quiero_comprar,fomo
"¿cómo se calcula el rendimiento?, he visto que varios fondos están invirtiendo en sostenibilidad",explicar_concepto,fomo
"¿cuál es la mejor inversión?, no puedo quedarme fuera",pedir_recomendacion,fomo
"¡voy a arrepentirme si no entro ahora!, quiero comprar crypto",quiero_comprar,fomo
"¿qué me recomiendas?, mucha gente está hablando bien de las inversiones en ia",pedir_recomendacion,fomo
"¿dónde me recomiendan invertir a largo plazo?, no puedo ser el tonto que no invierte",pedir_recomendacion,fomo
"¿qué es el beta?, varios amigos me han dicho que han ganado con etfs",explicar_concepto,fomo
"He visto que mucha gente está entrando en crypto, quizás debería echarle un ojo, quiero comprar Apple",quiero_comprar,fomo
"no puedo quedarme fuera, quiero comprar NVDA",quiero_comprar,fomo
"¡voy a arrepentirme si no entro ahora!, quiero comprar NVDA",quiero_comprar,fomo
¿Cuánto he ganado? no puedo quedarme fuera,consultar_cartera,fomo
"Varios amigos me han dicho que han ganado con ETFs, quiero comprar NVDA",quiero_comprar,fomo
"no puedo ser el tonto que no invierte, quiero comprar Tesla",quiero_comprar,fomo
"He notado que muchos inversores están entrando a mercados emergentes, quiero comprar crypto",quiero_comprar,fomo
"He notado que muchos inversores están entrando a mercados emergentes, quiero comprar Apple",quiero_comprar,fomo
¿Cuánto he ganado? ¡voy a arrepentirme si no entro ahora!,consultar_cartera,fomo
"¿qué acción es buena compra?, no puedo ser el tonto que no invierte",pedir_recomendacion,fomo
"¿qué es el beta?, todos mis amigos están ricos con bitcoin",explicar_concepto,fomo
"Varios colegas han tenido buenos resultados con acciones de tecnología, quiero comprar NVDA",quiero_comprar,fomo
"He oído que el sector de energía está teniendo un buen momento, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"¿me pueden dar una recomendación?, varios colegas han tenido buenos resultados con acciones de tecnología",pedir_recomendacion,fomo
"¿qué me dicen de invertir en crypto?, he notado que muchos inversores están entrando a mercados emergentes",pedir_recomendacion,fomo
¿Cuánto he ganado? mucha gente está optimista sobre las acciones de crecimiento,consultar_cartera,fomo
"He visto que varios fondos están invirtiendo en sostenibilidad, quiero comprar NVDA",quiero_comprar,fomo
"¿qué es la capitalización bursátil?, mucha gente está optimista sobre las acciones de crecimiento",explicar_concepto,fomo
¿Cuánto he ganado? no quiero ser el único que no gana,consultar_cartera,fomo
"todo el mundo está haciendo dinero fácil, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"¿qué significa diversificar?, todo el mundo está haciendo dinero fácil",explicar_concepto,fomo
"todos están entrando al mercado, quiero comprar NVDA",quiero_comprar,fomo
"todos están entrando al mercado, quiero comprar Apple",quiero_comprar,fomo
"¿Cuánto he ganado? he visto que mucha gente está entrando en crypto, quizás debería echarle un ojo",consultar_cartera,fomo
"¿cómo funciona el interés compuesto?, he visto que varios fondos están invirtiendo en sostenibilidad",explicar_concepto,fomo
"¡Todos están ganando menos yo!, pero igual vendo para comprar otra cosa",quiero_vender,fomo
¿Cuánto he ganado? varios colegas han tenido buenos resultados con acciones de tecnología,consultar_cartera,fomo
"Mucha gente está hablando bien de las inversiones en IA, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"Varios amigos me han dicho que han ganado con ETFs, quiero comprar NVDA",quiero_comprar,fomo
"no quiero ser el único que no gana, quiero comprar Tesla",quiero_comprar,fomo
"¿cómo funciona el trading?, no puedo ser el tonto que no invierte",explicar_concepto,fomo
"explícame qué es diversificación, no puedo ser el tonto que no invierte",explicar_concepto,fomo
"He leído que el sector inmobiliario está en alza, quiero comprar NVDA",quiero_comprar,fomo
"He visto que varios fondos están invirtiendo en sostenibilidad, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"todos están entrando al mercado, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"He leído que el sector inmobiliario está en alza, quiero comprar crypto",quiero_comprar,fomo
"¿cómo funciona el trading?, he visto que mucha gente está entrando en crypto, quizás debería echarle un ojo",explicar_concepto,fomo
¿Cuánto he ganado? no puedo ser el tonto que no invierte,consultar_cartera,fomo
"¡voy a perderme la subida!, quiero comprar Apple",quiero_comprar,fomo
¿Cuánto he ganado? mucha gente está optimista sobre las acciones de crecimiento,consultar_cartera,fomo
"He visto que mucha gente está entrando en crypto, quizás debería echarle un ojo, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"Varios amigos me han dicho que han ganado con ETFs, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"¿cómo funciona el interés compuesto?, varios colegas han tenido buenos resultados con acciones de tecnología",explicar_concepto,fomo
"explícame qué es una acción, ¡todos están ganando menos yo!",explicar_concepto,fomo
"¿Cuánto he ganado? he visto que mucha gente está entrando en crypto, quizás debería echarle un ojo",consultar_cartera,fomo
¿Cuánto he ganado? ¡voy a perderme la subida!,consultar_cartera,fomo
"todo el mundo está ganando menos yo, quiero comprar Tesla",quiero_comprar,fomo
"¿dónde invierto?, he leído que el sector inmobiliario está en alza",pedir_recomendacion,fomo
"todo el mundo está ganando menos yo, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"He leído que el sector inmobiliario está en alza, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"¿qué es el riesgo en inversiones?, todos mis amigos están ricos con bitcoin",explicar_concepto,fomo
"¡estoy perdiendo la oportunidad de mi vida!, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"¿Cuánto he ganado? he visto que mucha gente está entrando en crypto, quizás debería echarle un ojo",consultar_cartera,fomo
¿Cuánto he ganado? ¡la subida va a continuar sin mí!,consultar_cartera,fomo
"¡voy a perderme la subida!, quiero comprar NVDA",quiero_comprar,fomo
"¿qué me recomiendan para principiantes?, he leído que el sector inmobiliario está en alza",pedir_recomendacion,fomo
¿Cuánto he ganado? mucha gente está optimista sobre las acciones de crecimiento,consultar_cartera,fomo
"¡la subida va a continuar sin mí!, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"¿dónde puedo invertir para ganar dinero?, he oído que el sector de energía está teniendo un buen momento",pedir_recomendacion,fomo
¿Cuánto he ganado? varios amigos me han dicho que han ganado con etfs,consultar_cartera,fomo
¿Cuánto he ganado? todos mis amigos están ricos con bitcoin,consultar_cartera,fomo
"Mucha gente está optimista sobre las acciones de crecimiento, quiero comprar NVDA",quiero_comprar,fomo
¿Cuánto he ganado? mucha gente está optimista sobre las acciones de crecimiento,consultar_cartera,fomo
¿Cuánto he ganado? ¡todos están ganando menos yo!,consultar_cartera,fomo
"¿qué me recomiendan para principiantes?, no puedo quedarme fuera",pedir_recomendacion,fomo
"¿qué es el beta?, todo el mundo está ganando menos yo",explicar_concepto,fomo
"¿qué es el RSI?, todo el mundo está ganando menos yo",explicar_concepto,fomo
"Varios expertos mencionan que las commodities están subiendo, quiero comprar Apple",quiero_comprar,fomo
"¿qué me recomiendan para principiantes?, varios expertos mencionan que las commodities están subiendo",pedir_recomendacion,fomo
"explícame qué es una acción, todo el mundo está ganando menos yo",explicar_concepto,fomo
"¡Todos están ganando menos yo!, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"¿qué es la capitalización bursátil?, mucha gente está hablando bien de las inversiones en ia",explicar_concepto,fomo
"He leído que el sector inmobiliario está en alza, pero igual vendo para comprar otra cosa",quiero_vender,fomo
"¿me pueden dar una recomendación?, varios expertos mencionan que las commodities están subiendo",pedir_recomendacion,fomo
