texto,intencion,sesgo
ayuda todos los que invirtieron ya dejaron herencia,pedir_recomendacion,fomo
"compré a 175, no vendo hasta ese precio",pedir_recomendacion,anchoring
"MI COSTO FUE 85, ESE ES MI PISO",pedir_recomendacion,anchoring
no puedo ser el único burócrata,pedir_recomendacion,fomo
"mi costo fue 78, ese es mi piso ahora",pedir_recomendacion,anchoring
explícame qué es el ratio de deuda por favor,explicar_concepto,ninguno
"disculpa, ¿debería vender mis posiciones grandes?",quiero_vender,ninguno
estoy konsiderando vender mis posiciones de mercados desarrollados,quiero_vender,ninguno
muéstrame el detalle de mi portafolio,consultar_cartera,ninguno
no vendo con rojo,pedir_recomendacion,loss_aversion
ESTO ES EVIDENTE,pedir_recomendacion,overconfidence
¿CUÁL ES LA MEJOR INVERSIÓN EN CONSUMO?,pedir_recomendacion,ninguno
"compré a 158, no vendo hasta ese precio!!!",pedir_recomendacion,anchoring
quiero saber cómo va mi dinero por favor,consultar_cartera,ninguno
quiero vender mis acciones especulativas,quiero_vender,ninguno
ayuda ¿cómo funciona el momentum investing?,pedir_recomendacion,ninguno
¡estoy acabado!,pedir_recomendacion,panico
mi visión es clara,pedir_recomendacion,overconfidence
¿cómo funciona el trading?,explicar_concepto,ninguno
"disculpa, ¿qué me sugieren para mi primer inversión?",pedir_recomendacion,ninguno
¿EN QUÉ CRIPTOMONEDAS DEBO INVERTIR?,pedir_recomendacion,ninguno
todos mis compañeros ya retiraron,pedir_recomendacion,fomo
¡estoy destruido!,pedir_recomendacion,panico
¿cómo van mis acciones?,consultar_cartera,ninguno
el mercado está explotando,pedir_recomendacion,panico
¿debería comprar más Tesla?!,quiero_comprar,ninguno
esperaré pacientemente,pedir_recomendacion,loss_aversion
cómo funciona el análisis sectorial?,explicar_concepto,ninguno
necesito vender mis posiciones de riesgo urgente,quiero_vender,ninguno
¿cuál es la mejor inversión sostenible?!,pedir_recomendacion,ninguno
necesito un resumen ejecutivo de mi cartera,consultar_cartera,ninguno
estoy pensando en comprar bancos por favor,quiero_comprar,ninguno
¿qué es el fear and greed index?,explicar_concepto,ninguno
qué me recomiendan para developed economies?,pedir_recomendacion,ninguno
voy a perder mi familia!!!,pedir_recomendacion,panico
prefiero mantener,pedir_recomendacion,loss_aversion
¿cuál es la mejor inversión en agricultura? por favor,pedir_recomendacion,ninguno
muéstrame el rendimiento de mis fondos,consultar_cartera,ninguno
¿qué tal si compro oro? urgente,quiero_comprar,ninguno
EL MERCADO SE VIENE ABAJO,pedir_recomendacion,panico
ayuda todos mis amigos ya tienen carteras,pedir_recomendacion,fomo
ayuda soy un revolucionario,pedir_recomendacion,overconfidence
"mi precio de entrada fue 80, espero ese nivel",pedir_recomendacion,anchoring
¿qué significa spread de crédito? por favor,explicar_concepto,ninguno
"disculpa, ¿qué me dicen si compro más de esto?",quiero_comprar,ninguno
¿qué es un REIT?,explicar_concepto,ninguno
prefiero mantenerlo a vender perdiendo!!!,pedir_recomendacion,loss_aversion
cómo funciona el mercado de derivados?,explicar_concepto,ninguno
quiero invertir en startups,quiero_comprar,ninguno
kiero entender el smart beta,pedir_recomendacion,ninguno
ayuda voy a aguantar,pedir_recomendacion,loss_aversion
necesito información sobre Tesla,pedir_recomendacion,ninguno
voy a ser un inspiración,pedir_recomendacion,overconfidence
quiero vender algunas acciones,quiero_vender,ninguno
¿qué es el sharpe ratio?,pedir_recomendacion,ninguno
soy incompable,pedir_recomendacion,overconfidence
¡ESTO ES INSOPORTABLE!,pedir_recomendacion,panico
quiero vender mis acciones de crecimiento,quiero_vender,ninguno
¿qué me sugieren para water utilities? urgente,pedir_recomendacion,ninguno
¿es buena idea comprar ahora?,quiero_comprar,ninguno
necesito vender para reequilibrar por favor,quiero_vender,ninguno
QUIERO VENDER MIS POSICIONES DE VALOR,quiero_vender,ninguno
¿qué es el goal-based investing? ahora,pedir_recomendacion,ninguno
¿cuánto vale mi portfolio actual? por favor,consultar_cartera,ninguno
ayuda soy un semidiós,pedir_recomendacion,overconfidence
necesito vender para tomar ganancias,quiero_vender,ninguno
no puedo trabajar hasta los 65 por favor,pedir_recomendacion,fomo
cómo va mi dinero en el mercado?,consultar_cartera,ninguno
¿debería comprar más de esta acción?,quiero_comprar,ninguno
dime el estado de mis finanzas invertidas,consultar_cartera,ninguno
¿cómo está el valor de mis activos? por favor,consultar_cartera,ninguno
necesito revisar mi portafolio completo,consultar_cartera,ninguno
voy a deprimirme si no entro,pedir_recomendacion,fomo
"disculpa, ¿cuál es el valor de mi patrimonio bursátil?",consultar_cartera,ninguno
esto es garantizado,pedir_recomendacion,overconfidence
mejor esperar por favor,pedir_recomendacion,loss_aversion
¿debería comprar más cuando baja?,quiero_comprar,ninguno
estoy considerando comprar fondos indexados,quiero_comprar,ninguno
no puedo vender con pérdidas,pedir_recomendacion,loss_aversion
MI INTUICIÓN ES DIVINA,pedir_recomendacion,overconfidence
¿cómo funciona el dollar cost averaging?,pedir_recomendacion,ninguno
prefiero aguantar!!!,pedir_recomendacion,loss_aversion
"compré a 164, nunca vendo asta ese precio",pedir_recomendacion,anchoring
ESTO ES MI MAGIA,pedir_recomendacion,overconfidence
¿qué significa QE?!,explicar_concepto,ninguno
oye ¿en qué sector hay oportunidades?,pedir_recomendacion,ninguno
ayuda ¿cómo funciona el análisis de rendimiento?,pedir_recomendacion,ninguno
necesito vender para pagar impuestos,quiero_vender,ninguno
quiero comprar mi primera acción,quiero_comprar,ninguno
NADIE PUEDE PREDECIR COMO YO,pedir_recomendacion,overconfidence
¡voy a perder mi futuro!,pedir_recomendacion,panico
¿dónde invierto?!,pedir_recomendacion,ninguno
mi hermano ya compró su casa con inversiones!!!,pedir_recomendacion,fomo
¿dónde está el medical innovation?,pedir_recomendacion,ninguno
¿qué es el patrimonio neto?!,explicar_concepto,ninguno
dónde puedo invertir mi dinero?,quiero_comprar,ninguno
¿qué es el enterprise value?,explicar_concepto,ninguno
me pueden dar una recomendación?,pedir_recomendacion,ninguno
estoy pensando en comprar a buen precio,quiero_comprar,ninguno
necesito vender mis posiciones de calidad,quiero_vender,ninguno
ayuda soy un revolucionario,pedir_recomendacion,overconfidence
"la compré a 98, ese es mi precio base por favor",pedir_recomendacion,anchoring
¿qué es el riesgo en inversiones?,explicar_concepto,ninguno
explícame qué es blockchain,explicar_concepto,ninguno
todos los que compraron crypto ya no pagan impuestos,pedir_recomendacion,fomo
"disculpa, ¿dónde está el sustainability opportunity?",pedir_recomendacion,ninguno
voy a vender todo!,quiero_vender,ninguno
esto es inevitable,pedir_recomendacion,overconfidence
¿qué me dicen si compro Amazon? urgente,quiero_comprar,ninguno
ayuda ¿cómo funciona el trading?,pedir_recomendacion,ninguno
¿cómo funciona el trading?!!!,pedir_recomendacion,ninguno
quiero saber mi situación financiera,consultar_cartera,ninguno
tengo que liquidar todo o me muero,pedir_recomendacion,panico
no puedo más con el sufrimiento!!!,pedir_recomendacion,panico
explícame qué es el rendimiento anualizado,explicar_concepto,ninguno
ayuda necesito información sobre riesgo de crédito,pedir_recomendacion,ninguno
¿qué significa discounted cash flow?,explicar_concepto,ninguno
cómo funciona el análisis ESG?,explicar_concepto,ninguno
estoy considerando vender mis ganancias,quiero_vender,ninguno
ayuda ¡esto es un horror!,pedir_recomendacion,panico
¿debería meter dinero en NVDA?!,quiero_comprar,ninguno
¿qué tal si compro walmart?,quiero_comprar,ninguno
¿dónde está el energy opportunity? urgente,pedir_recomendacion,ninguno
ayuda ¿qué es el put-call ratio?,pedir_recomendacion,ninguno
no quiero ser el único esclavo del trabajo por favor,pedir_recomendacion,fomo
esto es obvio!!!,pedir_recomendacion,overconfidence
¿en qué sector hay oportunidades?!,pedir_recomendacion,ninguno
"compré a 72, no vendo por debajo",pedir_recomendacion,anchoring
¿QUÉ ES EL DRAWDOWN?,pedir_recomendacion,ninguno
"compré a 148, necesito ese precio",pedir_recomendacion,anchoring
el mercado está acabando con mi futuro por favor,pedir_recomendacion,panico
¿qué es blockchain?!!!,pedir_recomendacion,ninguno
no quiero ser un simple mortal,pedir_recomendacion,fomo
nunca puedo aceptar esta pérdida,pedir_recomendacion,loss_aversion
NO VOY A REALIZAR PÉRDIDAS,pedir_recomendacion,loss_aversion
¿DÓNDE ESTÁ EL COMMUNICATION OPPORTUNITY?,pedir_recomendacion,ninguno
ESTOY PENSANDO EN VENDER MIS POSICIONES DE VALOR,quiero_vender,ninguno
tengo que salirme de todo ahora o nunca,pedir_recomendacion,panico
¿dónde puedo invertir fuera de acciones?,pedir_recomendacion,ninguno
necesito información sobre VPN ahora,pedir_recomendacion,ninguno
cuál es la mejor inversión para principiantes?,pedir_recomendacion,ninguno
oye ¿cómo se calcula el rendimiento?,explicar_concepto,ninguno
¿dónde puedo empezar a invertir?,pedir_recomendacion,ninguno
dime el valor total de mi portafolio,consultar_cartera,ninguno
voy a reducir mi riesgo por favor,quiero_vender,ninguno
¿cuánto dinero tengo invertido en total?!,consultar_cartera,ninguno
qué tal si compro Tesla?,quiero_comprar,ninguno
voy a vender mis acciones de salud,quiero_vender,ninguno
"mi precio de compra fue 116, espero ese nivel por favor",pedir_recomendacion,anchoring
muéstrame el detalle de mi portafolio,consultar_cartera,ninguno
voy a reducir mi exposición!,quiero_vender,ninguno
voy a salir del mercado urgente,quiero_vender,ninguno
¿qué es un REIT? urgente,explicar_concepto,ninguno
quiero invertir en sectores que crecen,quiero_comprar,ninguno
¿CÓMO FUNCIONA EL ANÁLISIS ESG?,explicar_concepto,ninguno
mejor espero ahora,pedir_recomendacion,loss_aversion
esperaré pacientemente por favor,pedir_recomendacion,loss_aversion
voy a trascender el tiempo ahora,pedir_recomendacion,overconfidence
no kiero ser el único ke no gana,pedir_recomendacion,fomo
tengo que salir ya,pedir_recomendacion,panico
voy a cambiar las reglas por favor,pedir_recomendacion,overconfidence
¿qué tal está mi portfolio? por favor,consultar_cartera,ninguno
todos los que compraron Bitcoin en 2020 son libres,pedir_recomendacion,fomo
estoy pensando en vender mis tech stocks,quiero_vender,ninguno
"disculpa, ¿cómo funciona el mercado de futuros?",explicar_concepto,ninguno
voy a reducir mi exposición urgente,quiero_vender,ninguno
"compré a 158, no vendo hasta ese precio",pedir_recomendacion,anchoring
tengo que liquidar antes del olvido,pedir_recomendacion,panico
quiero saber mi patrimonio!,consultar_cartera,ninguno
necesito revisar mi cartera completa,consultar_cartera,ninguno
voy a quedar en la calle por favor,pedir_recomendacion,panico
¿qué me dicen de impact investing?,pedir_recomendacion,ninguno
no puedo ver cómo otros se enriquecen!!!,pedir_recomendacion,fomo
"LA COMPRÉ A 24, ESE ES MI PUNTO DE EQUILIBRIO",pedir_recomendacion,anchoring
no puedo soportar más pérdidas ahora,pedir_recomendacion,panico
esto es obvio!!!,pedir_recomendacion,overconfidence
esto es garantizado,pedir_recomendacion,overconfidence
¿qué es el information ratio? por favor,pedir_recomendacion,ninguno
QUIERO VENDER MIS PÉRDIDAS,quiero_vender,ninguno
prefiero mantener la posición,pedir_recomendacion,loss_aversion
quiero invertir en inteligencia artificial,quiero_comprar,ninguno
¿en qué commodities debo invertir? por favor,pedir_recomendacion,ninguno
¿cómo funciona el análisis de sentimiento? por favor,explicar_concepto,ninguno
¿debería comprar cuando hay corrección?,quiero_comprar,ninguno
oye ¿qué significa Porter's Five Forces?,explicar_concepto,ninguno
¿qué significa diversificar?,explicar_concepto,ninguno
"la compré a 38, no vendo por debajo de 38 por favor",pedir_recomendacion,anchoring
esto se hunde!!!,pedir_recomendacion,panico
¿debería meter dinero en NVDA?,quiero_comprar,ninguno
oye quiero revisar mi situación patrimonial,consultar_cartera,ninguno
¿dónde me conviene poner mi dinero?,pedir_recomendacion,ninguno
no vendo así,pedir_recomendacion,loss_aversion
esto es mi revolución ahora,pedir_recomendacion,overconfidence
no quiero quedarme mirando desde afuera,pedir_recomendacion,fomo
oye ¿cuál es la mejor inversión defensiva?,pedir_recomendacion,ninguno
dónde está la innovación?,pedir_recomendacion,ninguno
ayuda necesito saber sobre asset allocation,pedir_recomendacion,ninguno
explícame qué es el advance-decline line!,explicar_concepto,ninguno
muéstrame mis inversiones y su valor,consultar_cartera,ninguno
¿dónde ta el environmental oppotunity? po favor,pedir_recomendacion,ninguno
esto es evidente,pedir_recomendacion,overconfidence
qué me recomiendan para social investing?,pedir_recomendacion,ninguno
¡ESTOY EN EL ABISMO!,pedir_recomendacion,panico
mi sabiduría es ancestral,pedir_recomendacion,overconfidence
necesito vender mis posiciones de finanzas,quiero_vender,ninguno
quiero invertir en sectores defensivos!,quiero_comprar,ninguno
¿qué es el P/E ratio?,pedir_recomendacion,ninguno
ayuda ¿cómo funciona el scalping?,pedir_recomendacion,ninguno
"compré a 164, no vendo hasta ese precio por favor",pedir_recomendacion,anchoring
prefiero esperar,pedir_recomendacion,loss_aversion
"necesito liquidez, quiero vender por favor",quiero_vender,ninguno
"disculpa, ¿cuál es la mejor inversión sostenible?",pedir_recomendacion,ninguno
"compré a 80, no puedo vender por debajo",pedir_recomendacion,anchoring
el mercado está borrando mi memoria,pedir_recomendacion,panico
¿qué es el análisis técnico?,pedir_recomendacion,ninguno
¿cómo funciona el arbitraje? por favor,explicar_concepto,ninguno
¡estoy desesperado!,pedir_recomendacion,panico
ayuda ¿qué es el goal-based investing?,pedir_recomendacion,ninguno
¿en qué real estate debo invertir?,pedir_recomendacion,ninguno
todo el mundo ta en el paraíso financiero,pedir_recomendacion,fomo
¡voy a perder mi juventud si no invierto! ahora,pedir_recomendacion,fomo
tengo que dominar el mercado,pedir_recomendacion,overconfidence
explícame qué es inflación,explicar_concepto,ninguno
QUIERO COMPRAR ACCIONES DE EMPRESAS EN EXPANSIÓN,quiero_comprar,ninguno
me estoy perdiendo la vida!!!,pedir_recomendacion,fomo
mi estrategia es infalible por favor,pedir_recomendacion,overconfidence
mi talento es divino,pedir_recomendacion,overconfidence
voy a reducir mi cartera!,quiero_vender,ninguno
no puedo más con estas pérdidas,pedir_recomendacion,panico
no puedo creer esta caída,pedir_recomendacion,panico
¡estoy quebrando!,pedir_recomendacion,panico
"disculpa, ¿dónde me conviene invertir?",pedir_recomendacion,ninguno
"la compré a 46, no vendo por debajo de 46 ahora",pedir_recomendacion,anchoring
todos tan entrando al mercado,pedir_recomendacion,fomo
el mercado está acabando con mi futuro por favor,pedir_recomendacion,panico
¿es buen momento para entrar en cripto? por favor,quiero_comprar,ninguno
oye ¿qué significa Greeks en opciones?,explicar_concepto,ninguno
"ayuda la compré a 92, ese es mi precio base",pedir_recomendacion,anchoring
todos están entrando al mercado,pedir_recomendacion,fomo
oye estoy considerando vender mis posiciones agresivas,quiero_vender,ninguno
todo el mundo está en el movimiento,pedir_recomendacion,fomo
"compré a 174, necesito volver a 174",pedir_recomendacion,anchoring
me gustaría invertir en criptomonedas,quiero_comprar,ninguno
¿cómo funciona el scalping?,pedir_recomendacion,ninguno
¿cómo funciona el valuation?,pedir_recomendacion,ninguno
"ayuda mi costo fue 86, ese es mi piso",pedir_recomendacion,anchoring
no vendo con rojo ahora,pedir_recomendacion,loss_aversion
¡VOY A PERDER MI CASA!,pedir_recomendacion,panico
estoy considerando vender mis posiciones dominantes,quiero_vender,ninguno
¿dónde está la oportunidad ahora? por favor,pedir_recomendacion,ninguno
¡TENGO QUE ENTRAR YA!,pedir_recomendacion,fomo
tengo que vender antes del aniquilamiento total,pedir_recomendacion,panico
oye quiero ver mis resultados financieros,consultar_cartera,ninguno
ayuda todo el mundo está en el movimiento,pedir_recomendacion,fomo
no puedo soportar más pérdidas!!!,pedir_recomendacion,panico
¿cuánto vale todo lo invertido?,consultar_cartera,ninguno
¿cómo van mis fondos este año?,consultar_cartera,ninguno
esto es certeza absoluta ahora,pedir_recomendacion,overconfidence
soy el elegido ahora,pedir_recomendacion,overconfidence
¿ES BUEN MOMENTO PARA VENDER?,quiero_vender,ninguno
estoy considerando comprar ETFs,quiero_comprar,ninguno
cómo funciona el mercado de opciones?,explicar_concepto,ninguno
¿qué me recomiendan para Eurozone? por favor,pedir_recomendacion,ninguno
voy a salirme de commodities por favor,quiero_vender,ninguno
todos en Instagram muestran sus ganancias,pedir_recomendacion,fomo
"necesito liquidez, quiero vender por favor",quiero_vender,ninguno
todo el mundo está en la cima por favor,pedir_recomendacion,fomo
"ayuda compré a 70, no vendo por debajo de 70",pedir_recomendacion,anchoring
¿qué es el yield curve?!,explicar_concepto,ninguno
nadie puede competir konmigo po favor,pedir_recomendacion,overconfidence
esperaré a que suba,pedir_recomendacion,loss_aversion
MEJOR ESPERO PACIENTEMENTE,pedir_recomendacion,loss_aversion
esperaré pacientemente,pedir_recomendacion,loss_aversion
"disculpa, ¿cuál es la mejor inversión defensiva?",pedir_recomendacion,ninguno
¿es buen momento para vender? po favor,quiero_vender,ninguno
"disculpa, ¿es buen momento para comprar valor?",quiero_comprar,ninguno
necesito revisar mi cartera completa,consultar_cartera,ninguno
EXPLÍCAME QUÉ ES LA GOBERNANZA CORPORATIVA,explicar_concepto,ninguno
"ayuda compré a 68, no vendo por debajo",pedir_recomendacion,anchoring
"mi precio de compra fue 116, espero ese nivel",pedir_recomendacion,anchoring
quiero vender mis posiciones de infraestructura,quiero_vender,ninguno
me siento como un dinosaurio,pedir_recomendacion,fomo
estoy buscando diversificar!,quiero_comprar,ninguno
el mercado está humillándome por favor,pedir_recomendacion,panico
quiero entender la tasa de interés,pedir_recomendacion,ninguno
necesito ver el estado de mis posiciones,consultar_cartera,ninguno
quiero ver mi cartera,pedir_recomendacion,ninguno
soy un innovador,pedir_recomendacion,overconfidence
esto es una locura ahora,pedir_recomendacion,panico
mejor lo mantengo!!!,pedir_recomendacion,loss_aversion
quiero comprar acciones de retail,quiero_comprar,ninguno
nunca puedo ser el único mortal,pedir_recomendacion,fomo
SOY UN PIONERO,pedir_recomendacion,overconfidence
"disculpa, ¿dónde puedo invertir para capitalización?",pedir_recomendacion,ninguno
¡esto es la nada!,pedir_recomendacion,panico
¿debería vender mis bonos aora?,quiero_vender,ninguno
¿qué me dicen de China?!,pedir_recomendacion,ninguno
¡estoy muy arruinado para siempre!,pedir_recomendacion,panico
ayuda no puedo aceptar vender perdiendo,pedir_recomendacion,loss_aversion
necesito vender mis activos de alto rendimiento,quiero_vender,ninguno
quiero añadir más diversificación!,quiero_comprar,ninguno
explícame qué es la gobernanza corporativa!,explicar_concepto,ninguno
"la compré a 90, ese es mi precio base",pedir_recomendacion,anchoring
¿cómo funciona el valuation?,explicar_concepto,ninguno
¡estoy acabado! ahora,pedir_recomendacion,panico
¿es buena idea vender ahora?,quiero_vender,ninguno
¿es buen momento para comprar Apple?,quiero_comprar,ninguno
VOY A AGUANTAR PACIENTEMENTE,pedir_recomendacion,loss_aversion
¡voy a perder mis sueños!,pedir_recomendacion,panico
quiero entender la tasa de interés,pedir_recomendacion,ninguno
ayuda esto es un colapso total,pedir_recomendacion,panico
NADIE PUEDE CUESTIONARME,pedir_recomendacion,overconfidence
¿qué me recomiendan para reits?,pedir_recomendacion,ninguno
ESTOY BUSCANDO COMPRAR ALGO SEGURO,quiero_comprar,ninguno
¿qué tal si compro petróleo? por favor,quiero_comprar,ninguno
no quiero ser el único en la base,pedir_recomendacion,fomo
"la compré a 50, no vendo por debajo de 50!!!",pedir_recomendacion,anchoring
¿CÓMO FUNCIONA EL DOLLAR COST AVERAGING?,explicar_concepto,ninguno
explícame qué es inflación,explicar_concepto,ninguno
¿debería vender mis posiciones grandes?,quiero_vender,ninguno
¿cómo funciona el scalping? ahora,pedir_recomendacion,ninguno
quiero comprar acciones de finanzas,quiero_comprar,ninguno
mejor mantener,pedir_recomendacion,loss_aversion
todos los que compraron antes son ricos ahora,pedir_recomendacion,fomo
me gustaría invertir en criptomonedas,quiero_comprar,ninguno
¿qué significa asset allocation?,explicar_concepto,ninguno
¿qué me dicen de los bonos? urgente,pedir_recomendacion,ninguno
¿es buena idea comprar tecnología?,quiero_comprar,ninguno
¡voy a perder mi casa!,pedir_recomendacion,panico
¿dónde está el futuro de las inversiones? por favor,pedir_recomendacion,ninguno
¿debería comprar acciones de construcción?,quiero_comprar,ninguno
mejor mantener,pedir_recomendacion,loss_aversion
dime el estado de mis finanzas invertidas,consultar_cartera,ninguno
quiero invertir en startups,quiero_comprar,ninguno
¿CÓMO FUNCIONA EL ANÁLISIS DE INDICADORES?,explicar_concepto,ninguno
necesito vender mis posiciones de calidad urgente,quiero_vender,ninguno
¡voy a perder mi lugar en la historia!,pedir_recomendacion,fomo
¿dónde está el manufacturing opportunity? por favor,pedir_recomendacion,ninguno
¿cuánto dinero tengo en el mercado bursátil? por favor,consultar_cartera,ninguno
ayuda me siento como un completo perdedor,pedir_recomendacion,fomo
necesito ver mis ganancias/pérdidas,consultar_cartera,ninguno
¿en qué finanzas debo invertir?!,pedir_recomendacion,ninguno
¿cómo funciona el optimización de cartera?,explicar_concepto,ninguno
mejor espero,pedir_recomendacion,loss_aversion
¿qué es el confirmation bias? ahora,pedir_recomendacion,ninguno
ayuda esto es mi ejemplo,pedir_recomendacion,overconfidence
el mercado está humillándome,pedir_recomendacion,panico
mi análisis es perfecto!!!,pedir_recomendacion,overconfidence
¿qué me recomiendan para electric vehicles?,pedir_recomendacion,ninguno
no puedo vender con pérdidas,pedir_recomendacion,loss_aversion
"compré a 182, necesito volver a 182 por favor",pedir_recomendacion,anchoring
¿es buen momento para vender?,quiero_vender,ninguno
no quiero perder el tren,pedir_recomendacion,fomo
ESTO ES EVIDENTE,pedir_recomendacion,overconfidence
NECESITO SABER MI PATRIMONIO FINANCIERO,consultar_cartera,ninguno
"disculpa, ¿en qué oil debo invertir?",pedir_recomendacion,ninguno
explícame qué es el rendimiento anualizado!,explicar_concepto,ninguno
¿debería comprar más riesgo? urgente,quiero_comprar,ninguno
"compré a 176, necesito volver a 176",pedir_recomendacion,anchoring
NO PUEDO ACEPTAR ESTA PÉRDIDA,pedir_recomendacion,loss_aversion
no puedo ser el único esclavo,pedir_recomendacion,fomo
necesito revisar mi situación financiera,consultar_cartera,ninguno
VOY A REDUCIR MI CARTERA DE DIVIDENDOS,quiero_vender,ninguno
¿cómo funciona el análisis de crédito?!,explicar_concepto,ninguno
TENGO QUE SALIRME DE TODO INMEDIATAMENTE,pedir_recomendacion,panico
¿cuál es mi rendimiento total?!,consultar_cartera,ninguno
esto es mi campo,pedir_recomendacion,overconfidence
¿cómo funciona el análisis de sentimiento? por favor,explicar_concepto,ninguno
no puedo ser un simple espectador!!!,pedir_recomendacion,fomo
esto es evidente ahora,pedir_recomendacion,overconfidence
no puedo más con este infierno!!!,pedir_recomendacion,panico
¿qué es el riesgo ambiental?,explicar_concepto,ninguno
¿qué es el horizonte de inversión?!,explicar_concepto,ninguno
¿cómo funciona el valuation?,pedir_recomendacion,ninguno
esperaré por favor,pedir_recomendacion,loss_aversion
estoy pensando en comprar acciones por favor,quiero_comprar,ninguno
toy pensando en invertir en latinoamérica,quiero_comprar,ninguno
¿DÓNDE ESTÁ EL BATTERY OPPORTUNITY?,pedir_recomendacion,ninguno
¿cuánto he ganado con mis inversiones?!,consultar_cartera,ninguno
mejor esperar ahora,pedir_recomendacion,loss_aversion
quiero ver mis posiciones y su valor por favor,consultar_cartera,ninguno
"ayuda compré a 152, no vendo hasta ese precio",pedir_recomendacion,anchoring
mejor espero!!!,pedir_recomendacion,loss_aversion
necesito vender para reequilibrar,quiero_vender,ninguno
"disculpa, ¿cuál es la mejor inversión en materiales?",pedir_recomendacion,ninguno
¿qué es el strategic asset allocation?!!!,pedir_recomendacion,ninguno
¿qué es el loss aversion?,pedir_recomendacion,ninguno
¿es buen momento para vender retail?,quiero_vender,ninguno
no quiero quedarme mirando desde afuera po favor,pedir_recomendacion,fomo
oye ¿es buen momento para vender?,quiero_vender,ninguno
"compré a 60, no vendo por debajo",pedir_recomendacion,anchoring
¿debería vender mis posiciones de crecimiento? urgente,quiero_vender,ninguno
voy a esperar ahora,pedir_recomendacion,loss_aversion
